,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-619.68756,203.56587,125.85449,37.131794,-29.549334,-55.01427,-42.296288,-11.695148,13.031318,18.292986,5.73866,-12.084497,-21.918482,-18.54338,-6.535564,4.627225,7.7617683,2.5437074,-5.417796,-9.514297
1,-635.7443,272.32697,162.60457,41.543625,-46.273952,-75.08235,-51.82002,-7.0270667,25.60899,29.039545,8.714292,-15.803659,-26.396544,-18.106936,-0.028050156,13.516453,13.800495,2.9904578,-9.059217,-13.073817
2,-717.87494,227.34818,139.00604,38.771473,-36.37303,-64.12429,-47.97131,-11.211545,18.922525,26.359875,12.579885,-8.335743,-21.048643,-18.962488,-6.618155,5.5165157,9.114903,3.2571533,-6.2985687,-12.219912
3,-626.25433,256.17285,153.93959,39.26704,-44.52829,-73.129776,-52.98542,-12.343812,17.649527,20.834799,1.9412082,-20.93453,-30.904224,-23.232048,-6.2649355,6.5557876,6.8750377,-3.3971403,-14.972998,-18.938889
4,-596.80237,231.67036,141.91368,39.52409,-37.584488,-66.33824,-50.708733,-14.777539,13.706067,19.34171,4.8173423,-14.860385,-24.647718,-19.36255,-5.3048196,6.102664,7.088412,-1.518199,-12.103783,-16.634893
5,-583.28015,220.86903,132.4807,32.80303,-41.022205,-67.05472,-50.03842,-14.102831,13.5295925,18.097595,2.6964605,-17.530996,-27.561226,-22.245914,-7.8438597,4.29499,6.3598156,-1.0709627,-10.76799,-14.975616
6,-634.0566,197.17845,122.93322,36.053608,-28.97019,-52.61565,-37.745552,-4.44287,23.330416,30.885223,18.636896,-1.4651096,-15.376215,-15.809871,-5.318302,7.2801127,13.710041,11.376076,3.8394885,-2.7968216
7,-631.7394,248.61427,147.4967,34.94967,-46.83564,-74.23047,-53.228245,-11.621341,19.404984,23.481266,4.9922557,-18.219149,-29.017056,-22.096834,-5.3322887,8.024141,9.346015,-0.117855206,-11.613358,-16.246801
8,-684.9531,220.74757,133.17728,35.18397,-36.84695,-61.719086,-44.129066,-7.7628884,20.24519,24.808952,8.710026,-12.92289,-24.68217,-20.694923,-6.5696588,6.3763313,9.659403,2.9194672,-7.271401,-13.15903
9,-717.3481,215.19598,130.97247,34.488422,-37.595207,-64.31392,-49.1036,-14.34673,13.879406,20.448195,7.052965,-12.754954,-24.286348,-21.377213,-8.636258,3.7058825,7.6541452,2.417553,-6.31798,-11.46252
10,-625.72894,264.9734,162.83862,44.987087,-41.215508,-70.91788,-50.602066,-9.138507,21.714897,25.28155,6.2200084,-17.156122,-27.602133,-20.145618,-3.134921,9.828037,10.245898,-0.032628614,-11.663778,-15.644451
11,-633.83887,258.8965,156.63121,43.3906,-39.780445,-68.562004,-48.637836,-7.558545,23.618713,28.524279,11.270373,-10.810699,-21.117918,-14.567487,1.1776141,13.376736,14.000936,4.6664524,-5.984534,-9.594889
12,-654.3613,244.90652,145.64598,35.665638,-47.07992,-78.26874,-62.203613,-24.57135,5.293218,11.090148,-4.215496,-24.670876,-34.353546,-27.79662,-11.749532,1.6572868,4.0868907,-3.7391248,-13.975985,-18.267193
13,-630.0449,208.10204,126.123,33.823174,-34.27944,-58.392242,-41.873535,-6.134877,23.533657,31.899569,19.556944,-0.8068124,-14.719247,-15.199835,-5.3801312,5.7371387,10.477785,7.326644,0.57030976,-3.9119964
14,-668.12897,266.6885,158.43285,38.949806,-47.78638,-76.27922,-53.11234,-8.631415,23.774267,26.964962,6.3689437,-18.60337,-29.84023,-22.259178,-4.8161216,8.261585,8.27273,-2.6235876,-14.613282,-18.390457
15,-637.9729,221.28812,144.18413,56.428802,-10.867499,-38.246803,-28.189327,0.20955579,23.972584,29.271877,16.82843,-1.7918633,-13.751564,-13.318086,-4.071356,5.294062,7.7174325,2.3486793,-5.871485,-10.600694
16,-622.08997,242.44379,145.31363,38.004353,-42.731853,-73.3086,-57.897545,-21.492271,7.624077,13.978674,0.60362387,-17.194532,-24.631258,-17.150799,-1.7251893,10.097948,11.0407095,2.6540358,-7.051858,-10.351249
17,-677.0395,223.00156,138.14197,41.875355,-30.692083,-57.97127,-42.856796,-6.75043,24.607069,35.524178,26.240545,8.737433,-3.6124074,-4.7890816,1.8497157,8.173568,8.190121,2.230209,-4.2553577,-5.6260877
18,-635.9937,268.144,159.76878,41.34872,-45.264515,-74.25987,-52.38627,-9.430702,21.978312,25.337448,6.089761,-16.732323,-25.770903,-16.718504,1.1550932,13.708936,12.686689,0.7373517,-11.995803,-16.202713
19,-726.97455,219.67291,131.65857,32.120388,-41.344353,-66.174545,-46.714405,-7.6493783,22.741074,28.556383,12.481779,-9.956378,-22.583462,-18.975073,-4.595106,9.002407,12.945913,6.5070558,-3.873276,-10.265625
20,-749.18835,218.36885,132.85712,34.58716,-39.205986,-66.55294,-50.438618,-13.357871,17.926447,27.387962,15.674031,-4.1019382,-17.109034,-16.497698,-5.9557776,5.020028,8.6973095,4.128213,-3.4859788,-7.622286
21,-664.43726,211.9278,133.12303,42.52497,-27.613132,-56.423412,-45.685684,-14.779297,12.512029,21.590279,12.663063,-2.9778495,-12.602601,-10.543301,-0.47484717,8.885671,10.670595,4.408627,-4.573394,-9.690719
22,-621.2073,242.9736,142.02855,30.413496,-49.660587,-74.79069,-51.624096,-8.845534,22.082087,25.142681,5.389875,-18.548525,-29.21948,-21.617233,-4.091111,9.678927,10.915315,1.122896,-10.623509,-15.313178
23,-685.05115,206.62222,122.36926,27.248632,-43.83626,-69.6872,-53.789993,-18.036846,11.871117,20.89927,10.272603,-7.1460977,-17.645699,-15.652853,-5.5743647,3.3394306,4.437037,-1.8866009,-9.460839,-11.637914
24,-616.5366,211.09927,132.05707,44.243538,-23.608326,-51.84657,-41.523106,-10.460584,18.60522,31.16461,26.122211,12.82078,2.5777094,0.9091775,5.3714943,9.288596,7.6027055,0.72378147,-6.2741966,-7.94395
25,-645.28925,212.73534,138.76378,53.84953,-12.508149,-41.265453,-33.77074,-7.0705824,17.545025,26.58646,19.617123,6.2037573,-2.5861132,-1.7109576,5.7740016,12.38713,12.245012,5.1686034,-3.7938905,-8.502512
26,-610.6163,256.8792,157.14738,43.74085,-40.062016,-69.27286,-49.852894,-9.697884,20.349457,24.145008,5.998317,-16.541714,-26.77915,-19.72598,-3.2685277,9.545311,10.400076,0.79571366,-10.528682,-14.929616
